Cluster	rep_name	Against/Function
Cluster_52	AcrIC1	CRISPR-Cas - Type I-C
Cluster_53	AcrIF1	CRISPR-Cas - Type I-F
Cluster_54	dara	RM - Type I
Cluster_55	AcrIF9	CRISPR-Cas - Type I-F
Cluster_56	AcrIF21	CRISPR-Cas - Type I-F
Cluster_57	abc2	RecBCD;CBASS
Cluster_58	AcrIIA26	CRISPR-Cas - Type II-A
Cluster_59	AcrIB9	CRISPR-Cas - Type I-B
Cluster_60	AcrIIA3	CRISPR-Cas - Type II-A
Cluster_61	acrx	CRISPR
Cluster_62	AcrVIA6	CRISPR-Cas - Type VI-A
Cluster_63	AcrIF16	CRISPR-Cas - Type I-F
Cluster_64	stp	RM
Cluster_65	AcrVIB1	CRISPR-Cas - Type VI-B
Cluster_66	AcrIF24	CRISPR-Cas - Type I-F
Cluster_67	AcrIF8	CRISPR-Cas - Type I-F
Cluster_68	AcrIC5	CRISPR-Cas - Type I-C
Cluster_69	AcrIIA11	CRISPR-Cas - Type II-A
Cluster_70	AcrIE5	CRISPR-Cas - Type I-E
Cluster_71	nip	NADase
Cluster_72	AcrIC6	CRISPR-Cas - Type I-C, I-E
Cluster_73	aca11	CRISPR-Cas - Type II-A
Cluster_74	vcrx089	RM;CHAPERONE
Cluster_75	AcrIIC4	CRISPR-Cas - Type II-C
Cluster_76	AcrVIA2	CRISPR-Cas - Type VI-A
Cluster_77	psia	SOS stress response
Cluster_78	abc1	RecBCD
Cluster_79	AcrIB7	CRISPR-Cas - Type I-B
Cluster_80	AcrVIA4	CRISPR-Cas - Type VI-A
Cluster_81	Dap2	T3SS(EXsA)
Cluster_82	AcrIC3	CRISPR-Cas - Type I-C
Cluster_83	vcrx091	CRISPR-Cas;DNA repair
Cluster_84	AcrVA2	CRISPR-Cas - Type V-A
Cluster_85	AcrIIIB2	CRISPR-Cas - Type III-B
Cluster_86	gam	RecBCD
Cluster_87	lar	RM
Cluster_88	AcrIB8	CRISPR-Cas - Type I-B
Cluster_89	vcrx093	CRISPR-Cas;DNA repair
Cluster_90	AcrIC10	CRISPR-Cas - Type I-C
Cluster_91	AcrIIA18	CRISPR-Cas - Type II-A
Cluster_92	AcrIF20	CRISPR-Cas - Type I-F
Cluster_93	samase	RM;BREX
Cluster_94	orf126	Broad-spectrum
Cluster_95	AcrIF15	CRISPR-Cas - Type I-F
Cluster_96	AcrIIC3	CRISPR-Cas - Type II-C
Cluster_97	AcrIIA4	CRISPR-Cas - Type II-A
Cluster_98	gnarl1	O-antigen-based barrier
Cluster_99	AcrIIC7	CRISPR-Cas - Type II-C
Cluster_100	atd1	TIR/STING
Cluster_101	ulx	RM
Cluster_102	AcrIB2	CRISPR-Cas - Type I-B
Cluster_103	ardc	RM
Cluster_104	AcrIE4-IF7	CRISPR-Cas - Type I-E/I-F
Cluster_105	AcrIIA34	CRISPR-Cas - Type II-A
Cluster_106	AcrIF6	CRISPR-Cas - Type I-F/I-E
Cluster_107	AcrIF11	CRISPR-Cas - Type I-F
Cluster_108	tifa	TA
Cluster_109	AcrIF23	CRISPR-Cas - Type I-F
Cluster_110	gp4_5	TA - sanaTA
Cluster_111	AcrIF19	CRISPR-Cas - Type I-F
Cluster_112	ocr	RM - Type I EcoKI;BREX
Cluster_113	AcrIE7	CRISPR-Cas - Type I-E
Cluster_114	AcrIB6	CRISPR-Cas - Type I-B
Cluster_115	adfa	DarTG
Cluster_116	AcrIIA31	CRISPR-Cas - Type II-A
Cluster_117	AcrVA3	CRISPR-Cas - Type V-A, I-C
Cluster_118	adnd_p0020	Dnd
Cluster_119	AcrIIA24	CRISPR-Cas - Type II-A
Cluster_120	AcrIF25	CRISPR-Cas - Type I-F
Cluster_121	gnarl3	O-antigen-based barrier
